Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL
GPU,,Nvidia,Quadro K3100M,274,10.8,2978,https://gpu.userbenchmark.com/SpeedTest/8639/NVIDIA-Quadro-K3100M
GPU,,Asus,EAH6770,275,10.8,107,https://gpu.userbenchmark.com/SpeedTest/7880/ASUS-EAH6770
GPU,,AMD,RX Vega 10 (Ryzen iGPU),276,10.7,570,https://gpu.userbenchmark.com/SpeedTest/432559/AMD-RadeonTM-Vega-10-Mobile-Graphics
GPU,,AMD,HD 6970M,277,10.7,1595,https://gpu.userbenchmark.com/SpeedTest/8552/AMD-Radeon-HD-6900M
GPU,,Nvidia,GTX 760M,278,10.7,1775,https://gpu.userbenchmark.com/SpeedTest/9587/NVIDIA-GeForce-GTX-760M
GPU,,AMD,HD 6790,279,10.7,4043,https://gpu.userbenchmark.com/SpeedTest/8056/AMD-Radeon-HD-6700
GPU,,Nvidia,Quadro K620,280,10.7,16214,https://gpu.userbenchmark.com/Nvidia-Quadro-K620/Rating/2840
GPU,,Nvidia,MX150-2,281,10.7,5332,https://gpu.userbenchmark.com/SpeedTest/309890/NVIDIA-GeForce-MX150
GPU,,AMD,Radeon 540,282,10.5,167,https://gpu.userbenchmark.com/SpeedTest/316090/RadeonTM-540-Graphics
GPU,,AMD,HD 5770,283,10.4,37602,https://gpu.userbenchmark.com/SpeedTest/7752/AMD-Radeon-HD-5700
GPU,,Nvidia,GeForce MX230,284,10.4,6801,https://gpu.userbenchmark.com/SpeedTest/746237/NVIDIA-GeForce-MX230
GPU,,AMD,FirePro M8900,285,10.4,200,https://gpu.userbenchmark.com/SpeedTest/9032/AMD-ATI-FirePro-M8900-FireGL-Mobility-Pro-Graphics
GPU,,AMD,Radeon HD 6770,286,10.4,16639,https://gpu.userbenchmark.com/SpeedTest/7704/AMD-Radeon-HD-6700
GPU,,AMD,R9 M370X,287,10.3,1180,https://gpu.userbenchmark.com/SpeedTest/30774/AMD-Radeon-R9-M370X
GPU,,AMD,FirePro M6000,288,10.2,236,https://gpu.userbenchmark.com/SpeedTest/7770/AMD-ATI-FirePro-M6000-FireGL-V-Mobility-Pro-Graphics
GPU,,Nvidia,GTX 460 SE,289,10.2,3122,https://gpu.userbenchmark.com/SpeedTest/7703/NVIDIA-GeForce-GTX-460-SE
GPU,,Nvidia,Quadro 5000,290,10.1,751,https://gpu.userbenchmark.com/SpeedTest/9708/NVIDIA-Quadro-5000
